Alice Rangel de Paiva Abreu
Bela Feldman Bianco
Hélgio Trindade
Lia Machado
Reginaldo Prandi
Renato Boschi
Carmen Rial
Cornelia Eckert
Elisa Maria Cabral
Júri do Prêmio
Ana Maria Nicmeyer
Clarissa Baeta Neves
Eduardo Viola
Licia Valladares
Lúcio Kowarick
Maria Helena Augusto
Otávio Guilherme Velho
Eduardo Viveiros de Castro
Mariza Peirano
Olavo Brasil de Lima Jr.
Sergio Miceli
Irlys Barreira
José Vicente Tavares dos Santos
Vera Chaia
Yvonne Maggie
Lilia Moritz Schwarcz
Maria Teresa Sadek
Teresa Sales
Alba Zaluar
António Flávio Pierucci
Celi Regina
Jardim Pinto
Cornélia Eckert
Ellen Woortmann
Kranz Brüseke
Marcus Faro de Castro
Maria Victoria Benevides
Iracema Guimarães
Paula Montero
Renan Springer de Freitas
Renato Lessa
Sônia Draibe
Theophilos Rifiotis
Charles Pessanha
Jairo Nicolau
José Ricardo Ramalho
José Sérgio Leite Lopes
Gláucio Ary Dillon Soares
Helena Bomeny
Ilza Araújo Leão de Andrade
Maria Célia Paoli
Maria Celina D’Araújo
Maria Lígia Barbosa
Maria Sylvia Porto Alegre
Patrícia Birman
Roque de Barros Laraia
Gilberto Velho
Hélgio Trindade
Josefa Salcte Cavalcanti
Maria Hermínia Tavares de Almeida
Reginaldo Prandi
Renato Boschi
Amélia Cohn
Otávio Velho
Wanderley Guilherme dos Santos
Guita Debert
Ilse Scherer-Warren
Lícia Valladares
Mariza Peirano
Paulo Sérgio Pinheiro
Renato Boschi
Bela Feldman Bianco
Mauro Guilherme Pinheiro Koury
Paulo Roberto Menezes
Rosa Maria Barboza Araújo
Clarissa Baeta Neves
Eli Diniz
Elide Rugai Bastos
José Murilo de Carvalho
Maria Antonieta Leopoldi
Renato da Silva Queiroz
Robin Wright
Vinicius Caldeira Brant
Júri do Concurso de Obras e Teses
Amélia Cohn
Ana Maria de Niemeyer
Ari Pedro Oro
Eduardo Viola
Jorge Ventura de Morais
Maria Celina D’Araújo
Maria Helena Oliva Augusto
Maria Stella Grossi Porto
Renan Springer de Freitas
Sérgio Carrara
Vera da Silva Teiles
Antonio Flávio Pierucci
Mariza Corrêa
Rosa Maria Barbosa de Araújo
Elisa Reis
Maria Hermínia Tavares de Almeida
Peter Fry
Alcida Rita Ramos
Celi Regina Jardim Pinto
Ismael Pordeus Jr.
Regina Morel
Antônio Augusto Arantes
Argelina Chcibub Figueiredo
Maria Célia Paoli
Alzira Alves de Abreu
Ana Maria Fernandes
Eduardo Viveiros de Castro
Inaiá de Carvalho
Irlys Barreira
Jorge Zaverucha
Marcello Baquero
Maria Arminda do Nascimento Arruda
Mário Brockman Machado
Mariza Correa
Joseph Pierre Sanchis
Renato Ortiz
Roberto Cardoso de Oliveira
Sônia Larangeira
Vera Maria Cândido Pereira
Charles Pessanha
Delma Pessanha Neves
Gildo Marçal Brandão
Lilia Moritz Schwarcz
Maria Inès Paulillo
Miguel Chaia
Paulo Henrique Martins
César Barreira
Juarez Rubens Brandão Lopes
Otávio Velho
Alice Rangel de Paiva Abreu
Benício Viero Schmidt
Sergio Miceli
Aspásia Camargo
Bila Sorj
Carlos Benedito Martins
Clarissa Baeta Neves
Eli Diniz
Josefa Salete Cavalcanti
Luiz Roberto Cardoso de Oliveira
Sérgio Adorno
Ana Maria Galano
Tamara Tânia Cohen Egler
Rafael de Menezes Bastos
Eli Diniz
Elide Rugai Bastos
Fábio Wanderley Reis
Francisco Falcon
José Vicente Tavares dos Santos
Luiz Fernando Dias Duarte
Maria Antonieta Leopoldi
Reínaldo Prandi
Renato da Silva Queiroz
Robin Wright
Vinicius Caldeira Brant
Júri do Concurso de Obras e Teses
Alexandrina Sobreira de Moura
Ana Maria de Niemeyer
Cornelia Eckert
José Ricardo Ramalho
Maria Lígia de Oliveira Barbosa
Maura Pardini Bicudo Veras
Olavo Brasil de Lima Jr.
Ricardo Antunes
Rüben Oliven
Suely Kofes
Eli Diniz
José Sérgio Leite Lopes
Reginaldo Prandi
Ary César Minella
Luís Roberto Cardoso de Oliveira
Neide Esterci
Régis de Castro Andrade
Maria Hermínia Tavares de Almeida
Mariza Corrêa
Sérgio Adorno
Afrânio Garcia
Alcida llita Ramos
Bolivar Lamounier
Elisa Reis
Gabriel Cohn
Jorge Zaverucha
Leonardo Figoli
Maria Manuela Carneiro da Cunha
Maria Stella Grossi
Maria Sylvia Porto Alegre
Maria Teresa Sadek
Roberto Cardoso de Oliveira
Rubem César Fernandes
Sônia Larangeira
Vera Maria Cândido Pereira
Charles Pessanha
Guita Debcrt
Ilse Scherer-Warren
Lourdes Sola
Lúcia Lippi de Oliveira
Miguel Chaia
Ruben Oliven
Inaiá de Carvalho
Lúcio Kowarick
Ruth Cardoso
Wanderley Guilherme dos Santos
Abílio Baeta Neves
Alice Rangel de Paiva Abreu
Vilmar Faria
Hélgio Trindade
Heraldo Pessoa Souto-Maior
Juarez Rubens Brandão Lopes
Klaas Woortmann
Leôncio Martins Rodrigues
Lícia Valladares
Neuma Aguiar
Otávio Velho
Peter Fry
Sedi Hirano
Paula Montero
Regina Novaes
Sylvia Caiuby Novaes
Ângela de Castro Gomes
Fábio Wanderley Reis
José Vicente Tavares dos Santos
Luiz Felipe de Alencastro
Luiz Fernando Dias Duarte
Sergio Miceli
César Barreira
Franz Brüseke
Gisélia Potengy
Jacob Carlos Lima
Josefa Salete Cavalcanti
Maria Nazareth Wanderley
Moacir Palmeira
Silke Weber
Ana Maria Fernandes
José Carlos Wanderley
Laura da Veiga
Mary Garcia Castro
Nelson do Vale e Silva
Ana Maria Fernandes
Raymundo Heraldo Maués
Paula Montero
Mariza Peirano
Lúcio Kowarick
José Vicente Tavares dos Santos
Inaiá de Carvalho
Alcida Rita Ramos
Antônio Flávio Pierucci
Antônio Lavareda
Antônio Sérgio A. Guimarães
Benício Viero Schmidt
Carlos Brandão
Gabriel Cohn
José Murilo de Carvalho
Lúcia Lippi de Oliveira
Maria das Mercês Somarriba
Maria Hermínia Tavares dc Almeida
Miriam Grossi
Roberto Cardoso de Oliveira
Ruth Cardoso
Wandcrley Guilherme dos Santos
Alexandrina Saldanha Sobreira de Moura
Ary César Minella
Charles Pessanha
Jorge Romano
José Sérgio Leite Lopes
Ondina Fachel Leal
Rosa Acevedo
Fábio Wandcrley Reis
Régis de Castro Andrade
Ruben Oliven
Angela de Castro Gomes
Caio César Boschi
Guita Debert
Hélgio Trindade
Heraldo Souto-Maior
Luiz Fernando Dias Duarte
Manuel Correia de Andrade
Regina Morel
Roque de Barros Laraia
Sérgio Miceli
César Barreira
Edna Castro
Franz Brüseke
Guaraci Adeodato Alves de Sousa
Gisélia Potengy
Josefa Salete Barbosa Cavalcanti
Moacir Palmeira
Regina Céíia Reyes Novaes
Júri do Concurso de Obras e Teses
Ana Maria Fernandes
Bárbara Freitag Rouanet
Cláudia Lee Fonseca
Gabriel Cohn
José Sérgio Leite Lopes
Leôncio Martins Rodrigues
Maria Tcreza Sadek
Mariza Corrêa
Régis de Castro Andrade
Mariza Corrêa
Renato Boschi
Gilberto Velho
Klaas Woortmann
Marcus Figueiredo
Reginaldo Prandi
Vilmar Faria
Antônio Augusto Arantes
Aspásia Camargo
Juarez Brandão Lopes
Ana Maria Quiroga Fausto Neto
Clarissa Baeta Neves
Lygia Sigaud
Olavo Brasil de Lima Jr.
Vera Maria Cândido Pereira
Eli Diniz
Antônio Flávio Pierucci
Antônio Sérgio A. Guimarães
Celina Albano
Lúcia Lippi de Oliveira
Maria Teresa Sadek
Maria Victoria Benevides
Ruben George Oliven
Charles Pessanha
Eli Diniz
Alexandrina Saldanha Sobreira de Moura
Ary César Minella
Luiz Antônio de Castro Santos
Paula Montero
Sônia M. Draibe
Benício Viero Schmidt
Maria Hermínia Tavares de Almeida
Wanderley Guilherme dos Santos
Angela de Castro Gomes
Bila Sorj
Caio César Boschi
Hélgio Trindade
Manuel Correia de Andrade
Roque de Barros Laraia
Ruth Cardoso
Afrânio Garcia
Ariosto Holanda
Clóvis Cavalcanti
Cristóvão Buarque
Elbio Troccoli Pakman
Edna Maria Ramos Castro
Francisco de Oliveira
Guaraci Adeodato Alves de Sousa
Jean Hebette
Josefa Salete Barbosa Cavalcanti
Inaiá Maria Moreira de Carvalho
Regina Célia Reyes Novaes
Russel Parry Scott
Teimo Rudi Frantz
Júri do Concurso de Obras e Teses
André Villa-Lobos
Antônio Augusto Arantes
Aracy Lopes da Silva
Aspásia Camargo
Eli Diniz
Joseph Pierre Sanchis
Juarez Brandão Lopes
Klaas Woortmann
Maria Hermínia Tavares de Almeida
Maria Susana Arrosa Soares
Vilma Figueiredo
Antônio Otávio Cintra
Marcus Figueiredo
Roberto Cardoso de Oliveira
Simon Schwartzman
Tereza Caldeira
Bernardo Sorj
Fábio Wanderley Reis
Lia Zanotta Machado
Eunice Durham
José Murilo de Carvalho
Vilma Figueiredo
Alice Rangel de Paiva Abreu
Fábio Wanderley Reis
Josefa Salete Cavalcanti
Roberto Cardoso de Oliveira
André Villa-Lobos
Antônio Luiz Paixão
Fernando Azevedo
Maria Hermínia Tavares de Almeida
Manuela Carneiro da Cunha
Maria Victoria Benevides
Rubem Cesar Fernandes
Rüben George Oliven
Aspásia Camargo
Charles Pessanha
Claudia Fonseca
Nadia Araújo Castro
